Category,Subcategory,Height,Name,Widths,Price
Fiberglass,Mahogany,6'8,MAH-F,"32, 34, 36, 40, 42",$500 
Fiberglass,Mahogany,6'8,MAH-RP,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-CFR,36,$500 
Fiberglass,Mahogany,6'8,MAH-2EM,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-3PA,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-C3P,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,TT-BM00,"32, 34, 36, 42",$500 
Fiberglass,Mahogany,6'8,MAH-GR1,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-GR2,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-GR3,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-GR4,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-GR5,"32, 34, 36",$500 
Fiberglass,Mahogany,6'8,MAH-GR6,"32, 34, 36",$500 
